SubjectNumber,Gender,Age,Site,BirthState,Occupation,Education,NumberOfChildren,Fitness,CarMake,CarYear,CarModel,Race,ReportedHeight,ReportedWeight,MaritalStatus,FamilyIncome,ShoeSize,JacketSize,PantsSizeWaist,PantsSizeInseam,BlouseSize,PantsSizeWoman,BraSize,AcromialHeight_Sitting,AnkleCircumference,Spine_to_Shoulder,Spine_to_Elbow,ArmLength_SpineToWrist,ArmLength_ShoulderToWrist,ArmLength_ShoulderToElbow,ArmscyeCircumference_ScyeCircOverAcromion,BizygomaticBreadth,ChestCircumference,Bust_ChestCircumferenceUnderBust,Buttock_KneeLength,ChestGirthAtScye_ChestCircumferenceAtScye,CrotchHeight,ElbowHeight_Sitting,EyeHeight_Sitting,FaceLength,FootLength,HandCircumference,HandLength,HeadBreadth,HeadCircumference,HeadLength,HipBreadth_Sitting,HipCircumference_Maximum,HipCircMaxHeight,KneeHeight,NeckBaseCircumference,ShoulderBreadth,SittingHeight,Stature,SubscapularSkinfold,ThighCircumference,ThighCircumferenceMaxSitting,ThumbTipReach,TTR1,TTR2,TTR3,TricepsSkinfold,TotalCrotchLength_CrotchLength,VerticalTrunkCircumference,WaistCircumference_Pref,WaistFrontLength,WaistHeight_Preferred,Weight,Var1,Var2,Var3,CupSize
1,Male,47,Los Angles CA,Midwest,White Collar,18,0,5,Economy,1990,Non-sedan,White,1879.6,156.462585,Single,52500,12,48,46,34,NaN,NaN,NaN,676,317,210,587,907,697,377,564,165,1393,NaN,694,1382,815,298,841,132,281,234,219,184,638,212,540,1422,972,622,537,647,971,1872,20,790,758,875.3,880,874,872,15,943,2040,1385,533,1130,156.462585,1.544979811,2.962346077,0,NaN
2,Male,45,Los Angles CA,West,Management,12,3,5,Economy,1998,Sedan,White,1828.8,98.86621315,Married,150000,11.5,44,36,33,NaN,NaN,NaN,645,288,229,576,892,663,347,489,157,1149,NaN,626,1125,818,271,840,124,280,232,204,172,596,200,415,1105,920,580,496,529,962,1829,31.5,645,670,878.3,874,880,881,21,744,1879,1002,511,1073,101.5873016,0.933431327,0.42340821,0,NaN
7,Male,27,Los Angles CA,Foreign,Blue Collar,14,0,2.5,Economy,1997,Non-sedan,Hispanic,1752.6,95.23809524,Single,25000,10,44,36,29,NaN,NaN,NaN,623,277,237,566,842,605,329,479,141,1160,NaN,597,1185,744,278,821,119,265,219,189,152,560,191,387,1052,856,537,475,547,936,1731,35,654,658,813,811,815,813,13,646,1758,929,500,994,91.15646259,-0.201386556,0.612433732,0,NaN
8,Male,47,Los Angles CA,Foreign,Management,16,1,10,Economy,1998,Non-sedan,White,1828.8,77.09750567,Married,150000,10,38,33,34,NaN,NaN,NaN,588,263,212,551,856,644,339,445,142,988,NaN,641,1047,838,221,820,132,262,222,198,154,559,190,361,1019,916,589,456,477,935,1828,20,593,598,834.3,839,831,833,19,640,1704,895,513,1055,79.36507937,0.524842262,-0.50753051,0,NaN
9,Male,43,Los Angles CA,West,Management,16,3,2.5,Luxury,1996,Sedan,White,1778,89.79591837,Married,150000,9,44,34,30,NaN,NaN,NaN,610,273,208,560,859,651,352,499,138,1052,NaN,600,1113,794,240,813,123,261,231,197,152,575,204,387,1046,871,550,481,512,926,1762,24,587,610,836.3,838,832,839,8,649,1722,934,454,1020,88.88888889,-0.192496181,0.197012663,0,NaN
10,Male,50,Los Angles CA,Midwest,White Collar,14,0,5,Economy,1971,Sedan,Black,1828.8,102.0408163,Single,70000,12,44,38,32,NaN,NaN,NaN,625,279,230,573,879,649,343,495,157,1092,NaN,651,1100,807,265,834,135,300,230,224,159,580,191,409,1099,925,555,486,519,950,1806,26,636,656,836,836,835,837,20,713,1821,984,499,1068,97.95918367,1.346055746,-0.147824451,0,NaN
12,Male,38,Los Angles CA,West,Blue Collar,14,3,2.5,Economy,1998,Non-sedan,White,1714.5,76.19047619,Married,70000,7,36,34,30,NaN,NaN,NaN,581,254,225,531,813,588,306,417,140,1041,NaN,585,1059,730,247,808,113,240,221,186,153,578,198,388,1036,845,510,465,495,924,1702,25,598,591,752.6,748,755,755,13,648,1670,896,465,972,78.68480726,-0.897310555,0.630877614,0,NaN
13,Male,27,Los Angles CA,Midwest,White Collar,16,1,2.5,Economy,1997,Sedan,White,1701.8,65.75963719,Married,52500,9.5,34,30,32,NaN,NaN,NaN,536,262,215,538,831,616,323,396,136,900,NaN,611,938,790,187,755,116,272,205,203,148,531,184,338,932,836,539,443,452,866,1705,14,548,544,751,758,749,746,11,637,1521,771,380,1044,63.49206349,-1.308397293,-0.596614182,0,NaN
14,Female,36,Los Angles CA,South,White Collar,16,0,5,Economy,1995,Sedan,White,1574.8,63.49206349,Single,52500,7.5,NaN,NaN,NaN,NaN,10,34,561,224,162,451,696,534,289,388,126,908,799,586,875,720,243,727,112,233,187,171,142,537,182,424,1067,778,489,405,420,838,1578,20,620,636,673,674,668,677,20,725,1525,735,321,980,63.49206349,-0.803930342,0.031114791,0.811594784,2
15,Female,45,Los Angles CA,Foreign,White Collar,16,2,0.5,<undefined>,1995,Sedan,White,1574.8,56.6893424,Married,70000,5.5,NaN,NaN,NaN,NaN,9,32,540,205,192,479,731,539,287,365,133,872,739,549,888,713,222,727,114,226,187,187,145,557,192,389,960,763,490,390,424,836,1582,17,570,571,721.3,709,726,729,20.3,675,1457,686,343,972,53.51473923,-1.109929442,0.269224733,-0.273372024,2
